,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,xA/90,npxG/90,npxGxA/90
5269,2098,Luis Suárez,33,2902,25,25.367980003356934,12,11.144683027639983,121,56,9,0,F S,Barcelona,24,24.62470239400864,38.566809399053454,8.494504760950804,17/18,0.3456311069909023,0.7636882203517495,1.1093193273426518
9820,227,Robert Lewandowski,31,2763,34,31.196764232590795,4,7.27112489938736,138,36,5,0,F,Bayern Munich,29,27.40788071230054,39.65040745027363,9.743498254567385,19/20,0.2368444592634319,0.8927648440488775,1.1296093033123094
4726,2097,Lionel Messi,34,2832,37,26.885174363851547,9,13.955131396651268,179,79,6,0,F M S,Barcelona,31,21.68223083019257,42.52504535019398,18.13351222872734,16/17,0.4434893452325615,0.6890539458747638,1.1325432911073252
7935,318,Pierre-Emerick Aubameyang,31,2476,25,28.189756080508232,5,6.562238052487373,118,28,4,0,F M S,Borussia Dortmund,22,25.158649295568463,33.50267868489027,4.430834349244833,15/16,0.2385304623278932,0.9144904832799524,1.1530209456078455
5268,2371,Cristiano Ronaldo,27,2304,26,26.999303579330444,5,5.524841643869877,178,40,1,0,F,Real Madrid,23,24.02619305253029,31.62383733689785,9.47185287065804,17/18,0.215814126713667,0.9385231661144644,1.1543372928281317
3671,2098,Luis Suárez,27,2182,16,14.542309518903494,14,13.520657511428,75,60,4,0,F S,Barcelona,16,14.542309518903494,28.306159861385822,6.215007800608873,14/15,0.5576806489589917,0.5998202826312166,1.1575009315902085
15266,1741,Zlatan Ibrahimovic,31,2553,38,28.36629748344421,13,9.098249971866608,155,46,1,0,F S,Paris Saint Germain,33,23.80572670698166,36.00924212485552,11.613947290927172,15/16,0.3207373668108087,0.8392148075316683,1.159952174342477
4191,2370,Karim Benzema,27,2001,24,20.72938249260187,7,5.572381630539894,98,42,1,0,F S,Real Madrid,24,20.72938249260187,27.387168176472187,5.697659491561353,15/16,0.2506318574455724,0.9323560341500092,1.1829878915955816
4190,2099,Neymar,34,3058,24,28.050516739487648,12,18.07445504516363,124,102,6,0,F M,Barcelona,19,22.847829207777977,52.40943560004234,22.224826822057366,15/16,0.5319492982553065,0.6724344763571021,1.2043837746124084
9352,227,Robert Lewandowski,33,2959,22,33.14324213936925,7,9.613417826592922,144,47,2,0,F,Bayern Munich,19,30.112296249717478,41.9232893884182,8.940890244208276,18/19,0.2923986496767026,0.9158859961049586,1.2082846457816612
5267,2097,Lionel Messi,36,2995,34,28.946280613541603,12,15.100405622273684,196,87,3,0,F M S,Barcelona,32,25.97317014634609,48.18063422292471,21.634404016658664,17/18,0.4537684494172392,0.7804959309419527,1.234264380359192
4189,2097,Lionel Messi,33,2726,26,27.10191031545401,16,15.871278138831258,158,77,3,0,F M S,Barcelona,23,21.89935135096312,41.99686624109745,15.196364373899996,15/16,0.5239967103796087,0.7230160020494059,1.247012712429015
5824,2097,Lionel Messi,34,2704,36,25.99716906994581,13,15.33516551926732,170,93,3,0,F S,Barcelona,32,22.28090887516737,38.45987746119499,10.69879900291562,18/19,0.510416012105791,0.7415982983598607,1.2520143104656518
3664,2371,Cristiano Ronaldo,35,3103,48,39.30876067932695,16,13.600642347708344,225,76,5,1,F M,Real Madrid,38,30.38968584593385,43.60801999177784,7.520237253978848,14/15,0.3944756078935711,0.881428206939751,1.2759038148333222
16403,2099,Neymar,20,1797,19,16.537796266376972,13,12.280967645347118,91,70,4,1,F M,Paris Saint Germain,15,13.497415743768215,31.42876945436001,11.52315479516983,17/18,0.6150735047753149,0.6759974496044182,1.291070954379733
4187,2098,Luis Suárez,35,3150,40,35.833730578422546,16,13.275962802581487,137,56,6,0,F,Barcelona,37,32.11772674322128,44.87190732359886,9.114415856078269,15/16,0.3793132229308997,0.917649335520608,1.296962558451508
3665,2097,Lionel Messi,38,3374,43,35.89176357910037,18,17.61195552162826,187,95,4,0,F S,Barcelona,38,31.432097773998976,54.75360991060734,19.75672373920679,14/15,0.4697913446788807,0.8384376999584789,1.3082290446373597
16940,3423,Kylian Mbappe,29,2334,33,29.85540480911732,7,6.042636580765247,125,47,5,1,F M S,Paris Saint Germain,32,28.33521442860365,38.67279802262783,8.34364271350205,18/19,0.2330065519575288,1.0926175229538682,1.325624074911397
17489,3423,Kylian Mbappe,20,1522,18,16.572050720453262,5,10.575326211750507,88,40,0,0,F S,Paris Saint Germain,18,16.572050720453262,29.428369849920276,6.0446327812969685,19/20,0.6253478048998329,0.9799504368204952,1.605298241720328
